OrderID|CustomerID|ProductID|OrderDate|Quantity|TotalAmount
O1001|C001|P101|12-01-2024|2|1600
O1002|C999|P102|2024/12/02|1|50
O1003|C002|P104|15/12/24|abc|200
O1004|C003|P103|12-15-2024|1|120
O1005|C105|P105|01-09-2025|2|12000
O1006|C106|P106|01-10-2025|5|500
O1007|C107|P107|01-11-2025|1|1500
O1008|C108|P108|01-12-2025|2|1200
O1009|C109|P109|01-13-2025|1|800
O1010|C110|P110|01-14-2025|1|15000
O1011|C111|P101|01-15-2025|1|55000
O1012|C112|P999|01-16-2025|1|3000
O1013|C200|P103|01-17-2025|2|2000
O1014|C103|P103|13-45-2025|1|2000
O1015|C104|P104|01-18-2025|-1|7000
O1016|C105|P105|01-19-2025|2|abc
O1017|C101|P101|01-05-2025|1|55000
O1018|C106|P106|01-20-2025|10|500
O1019|C107|P120|01-21-2025|5|200
O1020|C108|P115|01-22-2025|1|3000
O1021|C109|P116|01-23-2025|3|800
O1022|C110|P117|01-24-2025|1|4500
O1023|C111|P118|01-25-2025|2|2000
O1024|C112|P119|01-26-2025|1|1800
O1025|C113|P120|01-27-2025|4|200
